Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001
142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"ANCDAK: ANC.B5.DE12;
AMPATH: 16;
CIEL: 142412;
AMPATH: 5983;
ICD-10-WHO: A09.9;
IMO ProblemIT: 42046;
SNOMED CT: 62315008",Diarrhoea,,,,,,Diagnosis,Coded,,,,
112141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"IMO ProblemIT: 24727;
CIEL: 112141;
PIH: 58;
org.openmrs.module.mdrtb: TUBERCULOSIS;
AMPATH: 58;
SNOMED CT: 56717001",TUBERCULOSIS,,,,,,Diagnosis,Coded,,,,
f7b62c18-afa4-4428-8b63-08391cf210f2,,,DYSENTERY (BLOODY DIARRHEA),,,,,,Misc,N/A,,,,
122604AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"IMO ProblemIT: 79816;
SNOMED CT: 63650001;
PIH: 198;
CIEL: 122604;
ICD-10-WHO: A00.0",CHOLERA,,,,,,Diagnosis,N/A,,,,
72444092-9956-47da-8897-b76e4718c22f,,,MENINGOCOCCAL MENINGITIS,,,,,,Misc,N/A,,,,
5f373b9c-93fe-4371-8fa8-39c05aed4323,,,OTHER MENINGITIS,,,,,,Misc,N/A,,,,
603e0da9-6923-414e-a307-991064da413b,,,TETANUS,,,,,,Misc,N/A,,,,
264d3b5e-0cda-47cf-bd1a-9c8f71313cff,,,POLIOMYELITIS(AFP),,,,,,Misc,N/A,,,,
6650c64a-ca0b-47ca-9ab1-c2f1495f429d,,,CHICKEN POX,,,,,,Misc,N/A,,,,
134561AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"SNOMED CT: 14189004;
AMPATH: 63;
AMPATH: 5262;
CIEL: 134561;
PIH: 63;
ICD-10-WHO: B05.9;
IMO ProblemIT: 28601",MEASLES,,,,,,Diagnosis,N/A,,,,
116986AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"PIH: 29;
CIEL: 116986;
IMO ProblemIT: 1717636;
SNOMED CT: 128241005;
AMPATH: 5019;
AMPATH: 29",HEPATITIS,,,,,,Diagnosis,N/A,,,,
0893577f-14a1-4565-8629-e7ba348cfd7f,,,MUMPS,,,,,,Misc,N/A,,,,
ab01a44e-5a44-4d36-a8e4-8794d8026222,,,SUSPECTED/TESTED MALARIA,,,,,,Misc,N/A,,,,
110d072b-fa9c-4898-aa0e-63846c79d1f1,,,CONFIRMED MALARIA (Only positive cases),,,,,,Misc,N/A,,,,
c9a7f9e8-82bb-4d8d-ae6f-ecf50c7b233e,,,MALARIA IN PREGNANCY ,,,,,,Misc,N/A,,,,
e12fa230-8cd0-45cf-822f-533307755a8f,,,Amoebiasis,,,,,,Misc,N/A,,,,
