Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:150,Data class,Data type,Answers
8b7b4546-0ec5-420c-88cb-abc9627eeabe,,Wound Dressing Small,Wound Dressing Small,,,,,Procedure,N/A,
170e1661-3c2e-4cf4-aa6a-eba354a607c2,,Wound Dressing medium,Wound Dressing medium,,,,,Procedure,N/A,
74a7ea07-eb8b-4d62-881c-0f9408146c76,,Wound Dressing big,Wound Dressing big,,,,,Procedure,N/A,
8be78549-2557-46e9-997e-f1f987995f79,,Suturing Small,Suturing Small,,,,,Procedure,N/A,
061e27d1-efc7-4977-bd29-a0b20c7ddce1,,Suturing Medium,Suturing Medium,,,,,Procedure,N/A,
c92223a9-85ba-4d6f-a340-482f30a2be91,,Suturing Big,Suturing Big,,,,,Procedure,N/A,
853f6808-dfc9-46d4-9291-85d287542bd4,,Incision and Drainage(I & D),Incision and Drainage(I & D),,,,,Procedure,N/A,
7d56fc10-ced1-414c-896f-0774395d26fe,,Removal of Stitches,Removal of Stitches,,,,,Procedure,N/A,
6c79c522-76cc-402c-8e35-3f693774400f,,Removal of Foreign Body,Removal of Foreign Body,,,,,Procedure,N/A,
713964d1-a5cb-486e-a581-27c0bda319c4,,Removal of Implant,Removal of Implant,,,,,Procedure,N/A,
65616344-0a9f-4fd3-a0b2-b8dc6a2114b6,,IUCD Removal,IUCD Removal,,,,,Procedure,N/A,
e67519b8-34a9-472d-96ef-a1162d86f136,,Manual Vacuum Aspiration(MVA),Manual Vacuum Aspiration(MVA),,,,,Procedure,N/A,
5461f3fb-1f55-49a7-a5e7-c30fa6b3b443,,Speculum Examination,Speculum Examination,,,,,Procedure,N/A,
2d83cb41-6612-4042-a22f-4b944769cca2,,Nebulization,Nebulization,,,,,Procedure,N/A,
d726168f-a75b-4986-a804-da9867521c03,,Vaginal Examination,Vaginal Examination,,,,,Procedure,N/A,
5a38f600-941f-4b57-a912-9faa7d2fc3f3,,Digital Rectal Examination,Digital Rectal Examination,,,,,Procedure,N/A,
e9534e87-d309-4832-a6b3-70ed8852fbcd,,Cannulation,Cannulation,,,,,Procedure,N/A,
2b9aeec6-2d10-49ad-adfd-3c01ec539106,,Catheterization,Catheterization,,,,,Procedure,N/A,
f92a3beb-b41e-4ed3-8b94-2a4685499de3,,Ear Syringing,Ear Syringing,,,,,Procedure,N/A,
a2964119-28e9-4c82-9a93-6a752f1cfb80,,Eye Irrigation,Eye Irrigation,,,,,Procedure,N/A,
f43e6139-822a-4b71-8009-7453470a0865,,Ganglion Removal,Ganglion Removal,,,,,Procedure,N/A,
c1013371-3805-4844-9f27-2ec4fe9e2d51,,Circumcision Child,Circumcision Child,,,,,Procedure,N/A,
daedd81d-b8fa-4860-80f7-28c7444279f3,,Circumcision Adult,Circumcision Adult,,,,,Procedure,N/A,
e6521a61-9d7a-4898-8231-92107f013e0f,,Episiotomy/Tear Repair,Episiotomy/Tear Repair,,,,,Procedure,N/A,
d1ac0f43-53a6-4bcc-a057-c1107c8f4be5,,Manual Removal Of Placenta,Manual Removal Of Placenta,,,,,Procedure,N/A,
3a64ac2c-c94b-42dc-ab59-dbfd6aa70a0d,,Nenatal Resuscitation,Nenatal Resuscitation,,,,,Procedure,N/A,
e4484fd8-9754-4c09-a3b7-a89a43a0b0db,,Delivery,Delivery,,,,,Procedure,N/A,
b67b287e-6c45-46f0-85b7-553a27958ca4,,Nasogastric Tube Insertion,Nasogastric Tube Insertion,,,,,Procedure,N/A,
925b92fe-b965-41a1-a15f-27faed8332c3,,Tongue Tie Release,Tongue Tie Release,,,,,Procedure,N/A,
f37ccbfa-107b-4790-8c06-96c3360e93f9,,Ingrown Toenail Removal,Ingrown Toenail Removal,,,1,,Procedure,N/A,
3f606308-b00c-46d2-9a96-4998183477ad,,Phototherapy for Jaundice,Phototherapy for Jaundice,,,,,Procedure,N/A,
df61f550-5295-4221-b048-250273a1fd26,,Pap Smear Sample Collection,Pap Smear Sample Collection,,,,,Procedure,N/A,
