Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:1001,Data class,Data type,Answers,Members
fda5119b-6a0f-4016-8ecf-90c619a42b5f,,,Routine,Routine,,,,,Misc,N/A,,
f1dd75a8-22f4-41d0-8dc6-74d948a0a861,,,Urgent,Urgent,,,,,Misc,N/A,,
e1449ab7-dd55-4443-a7c1-bf77b39ea386,,,Exam Requested,Exam Requested,,,,,Question,Coded,"Routine;
Urgent",
d1e2f14d-cc8c-4fb2-ba44-04c2f223d294,,,Referral,Referral,,,,,Question,Coded,Yes; No,
9a4112f5-5233-49d8-8ccf-c1ffc5ace7a3,,,Date of referral,Date of referral,,,,,Question,Date,,
eb3adf82-dea1-4a97-803c-852f61dec950,,,In From,In From,,,,,Question,Text,,
e133db61-3fb6-44e1-988b-98d8eec0148e,,,Out to,Out to,,,,,Question,Text,,
cebe3be9-7d72-4478-a7e2-015e4ed87f46,,,Reason for referral,Reason for referral,,,,,Question,Text,,
a7a1f899-135b-49b3-a1fe-d9ef0b50c40b,,,referral form/image,referral form/image,,,,,Question,Document,,
684e52f3-dd08-465b-ac6c-5aca23cb19d9,,,Relevant History,Relevant History,,,,,Question,Text,,
aa2b62ca-f798-40c8-ba88-bcff78be1fbe,,,Obstetric Ultrasound ,Obstetric Ultrasound ,,,,,Misc,N/A,,
b2f6cbd3-c9f1-4796-9b17-71b79d3083b9,,,Pelvic Ultrasound,Pelvic Ultrasound   ,,,,,Misc,N/A,,
924e2c88-6c77-47d1-a8ae-a2c14e537ca8,,,Abdominal Ultrasound,Abdominal Ultrasound ,,,,,Misc,N/A,,
adfff9e4-7d2a-4c37-8442-987100e03397,,,Doppler Ultrasound,Doppler Ultrasound  ,,,,,Misc,N/A,,
8fabe61d-b2ef-414a-bfb5-d2c3dfc67343,,,Breast Ultrasound,Breast Ultrasound,,,,,Misc,N/A,,
e6f837c0-5362-4c29-acfc-2eaec54f96d4,,,Thyroid Ultrasound,Thyroid Ultrasound ,,,,,Misc,N/A,,
87ba416e-019a-43fc-8e3e-d9129c532175,,,Prostate Ultrasound,Prostate Ultrasound,,,,,Misc,N/A,,
9b423453-cdb2-4f29-8636-7fbdc9f52050,,,Transvaginal Ultrasound,Transvaginal Ultrasound  ,,,,,Misc,N/A,,
399853b4-9d99-434c-b463-5f468c9dfb93,,,Regional Ultrasound,Regional Ultrasound,,,,,Misc,N/A,,
b19257f3-36fd-4d68-a0b3-65c85623201e,,,Testicular Ultrasound,Testicular Ultrasound ,,,,,Misc,N/A,,
c39a3a0d-b767-4a3b-be37-ea42884eb152,,,Anomaly Scan,Anomaly Scan  ,,,,,Misc,N/A,,
b3665c93-5043-4b7e-aae6-f803b80e1f21,,,Scrotal Ultrasound,Scrotal Ultrasound,,,,,Misc,N/A,,
9bde7d89-3a34-4f69-aa21-bd617f144e85,,,Superficial Ultrasound,Superficial Ultrasound,,,,,Misc,N/A,,
46cdba72-d273-4377-ac76-0b31fc3a9195,,,"Locating IUCD, Implant (Foreign Body) Ultrasound","Locating IUCD, Implant (Foreign Body) Ultrasound",,,,,Misc,N/A,,
be00e6f9-9f53-4b73-95bc-c6ed517a98e1,,,Other exam or procedure,Other exam or procedure,,,,,Misc,N/A,,
a9a88d26-1704-4ddf-9e31-6b137432b60d,,,Services,Services,,,,,Question,Coded,"Obstetric Ultrasound;
Pelvic Ultrasound;   
Abdominal Ultrasound;
Doppler Ultrasound;
Breast Ultrasound;
Thyroid Ultrasound;
Prostate Ultrasound;
Transvaginal Ultrasound; 
Regional Ultrasound;
Testicular Ultrasound;
Anomaly Scan;  
Scrotal Ultrasound;
Superficial Ultrasound;
Locating IUCD, Implant (Foreign Body) Ultrasound;
Other exam or procedure",
54653ef2-d689-47bb-9efa-1f4b58220cb3,,,Other exam or procedure (specify),Other exam or procedure (specify),,,,,Question,Text,,
43a798cf-5d7c-4ccc-b289-6e44db636b5c,,,Visit Date,Visit Date,,,,,Question,Date,,
